1,107.74,15.85,59.02,46.71,19.4,66.62
0,107.12,15.4,58.23,46.7,18.64,66.98
1,111.09,15.62,60.48,47.86,18.26,67.49
0,109.88,15.07,60,47.01,17.66,65.21
1,110.31,15.03,60.55,47.56,16.82,65.44
1,110.08,14.9,59.78,47.39,16.86,65.33
0,108.53,14.5,58.65,46.97,16.53,64.34
0,110.98,14.67,59.53,46.98,16.475,63.8
0,111.4,14.28,59.82,47.75,16.46,63.65
0,113.46,14.51,59.97,48.32,16.56,63.8
0,113.65,14.13,60.16,48.24,16.68,64.13
0,113.87,13.94,60.01,48.56,16.95,64.04
1,115.39,13.96,60.61,47.74,16.95,64.55
0,114.31,13.85,60.81,47.74,16.64,65.22
1,117.95,13.97,60.85,48.2,16.71,66.4
1,117.1,13.86,59.94,48.71,16.75,66.26
0,116.81,14.01,60.28,48.79,16.46,65.41
0,116.86,14.08,57.5,49.54,16.45,66.53
0,117.25,14.18,57.47,50.45,16.3,66.16
1,118.18,14.19,57.53,50.61,16.19,66.79
0,117.33,14.5,57.36,50.21,16.17,67.46
1,117.88,14.63,57.12,50.34,16.15,67.41
0,116.79,15.2,56.7,50.23,16.09,66.14
0,117.35,15.48,57.11,49.96,16.09,65.74
1,117.7,15.6,57.89,50.1,16.26,66.16
1,115.02,15.69,57.91,50.23,16.215,67.13
1,114.31,15.62,57.85,50.46,16.19,67.47
1,113.7,15.63,57.74,50.32,16.17,66.88
1,113.4,15.43,57.29,50.69,15.96,66.8
1,113.06,15.68,57.27,51.77,15.7,67.21
1,112.71,15.46,57.405,51.84,15.59,67.28
0,112.46,15.47,57.57,52.43,15.26,67.8
0,113.16,15.46,57.81,51.84,15.38,68.31
1,113.69,15.4,57.88,52.31,15.36,68.56
1,113,15,56.93,52.31,15.01,68.74
0,111.64,15,57.08,52.45,15.4,69.18
1,114.42,15.1,57.87,52.3,15.53,69.79
1,114.35,14.98,57.92,52.15,15.69,71
1,113.85,14.63,57.51,51.37,15.71,69.93
0,113.05,14.64,57.35,51.6,15.74,70.1
1,115.19,14.58,57.27,51.89,15.55,69.68
1,115.12,14.74,57.63,51.89,15.66,69.11
1,113.86,14.19,56.15,51.49,15.64,68.68
1,108.73,14.18,56.39,51.59,15.67,68.83
1,107.51,14.35,56.5,52.05,15.67,69.05
0,102.65,13.85,56,51.75,15.65,68.71
0,104.64,14.52,56.79,53.13,15.91,69.78
0,107.25,14.6,57.63,53.6,15.77,70.75
0,107.83,14.63,57.47,53.5,15.72,70.65
1,107.9,14.54,57.78,53.09,16.05,71.83
1,107.7,14.61,57.67,52.8,15.94,71.88
1,106.14,14.39,57.01,52.14,16.15,71.23
0,105.66,14.34,57.65,52.22,16.21,71.11
0,105.8,14.43,57.98,52.58,15.87,71.05
0,106.62,14.41,58.18,52.36,15.81,70.59
1,107.41,14.37,58.28,52.64,15.61,70.83
0,107.39,13.64,57.88,52.53,15.42,70.24
0,108.565,14.67,57.8,52.55,15.37,70.4
0,108.59,14.43,57.9,52.655,15.26,70.67
1,108.86,14.36,57.6,52.58,15.2,70.15
0,108.77,14.46,57.43,52.89,15.13,70.12
1,109.23,14.52,57.42,52.95,15.11,70.31
0,109.1,14.4,57.54,52.9,15.16,69.45
1,109.63,14.46,57.61,53.5,14.97,69.9
1,108.14,14.31,58.01,53.66,14.97,70.03
0,107.78,14.29,58.03,53.96,14.77,69.88
0,108.52,14.2,58.03,53.81,14.83,70.67
1,108.71,14.28,58.16,53.82,15.16,70.06
1,108.23,14.29,58.17,53.6,15.11,70.67
1,107.52,14.3,58.055,53.64,15.08,71.36
1,106.27,14.24,57.65,53.94,14.75,71.58
1,105.58,14.33,56.8,54,14.48,71.51
0,104.81,14.05,56.68,54.16,14.11,71.32
