0.938	0.688	0.813	0.75	0.75	1
0.852	0.494	0.506	0.481	0.469	1
0.892	0.541	0.649	0.649	0.595	1
0.833	0.556	0.611	0.583	0.556	1

0.875	0.875	0.875	0.75	0.625	2
0.4	0.9	0.7	0.7	0.8	2
0.5	0.889	0.722	0.889	0.667	2
0.667	1	1	1	0.667	2
0.8	1	0.8	0.8	0.6	2
0.6	0.925	0.8	0.75	0.65	2
0.451	0.771	0.617	0.554	0.463	2
0.522	0.913	0.754	0.667	0.58	2
0.544	0.922	0.553	0.583	0.505	2
0.549	0.882	0.725	0.686	0.706	2
0.529	0.882	0.603	0.676	0.603	2
0.632	0.816	0.684	0.658	0.658	2
0.882	1	0.941	0.941	0.824	2
0.414	0.966	0.621	0.552	0.483	2
0.768	0.946	0.714	0.625	0.679	2
0.7	0.9	0.7	0.7	0.5	2
0.581	0.871	0.774	0.71	0.677	2
0.769	0.923	0.769	0.846	0.769	2
0.733	0.933	0.867	0.8	0.733	2

0.75	1	1	1	1	3
0.613	0.839	1	0.613	0.581	3
0.579	0.579	0.947	0.737	0.526	3
0.769	0.846	1	0.923	0.923	3
0.37	0.593	0.815	0.704	0.593	3
0.412	0.824	0.941	0.647	0.647	3
0.583	0.626	0.878	0.678	0.617	3
0.533	0.7	0.8	0.8	0.8	3
0.5	0.719	0.969	0.875	0.719	3
0.5	0.569	0.892	0.608	0.49	3
0.75	1	1	1	0.75	3
0.647	0.941	1	0.765	0.588	3
0.474	0.474	0.947	0.579	0.474	3
0.75	0.85	1	0.95	0.85	3
0.818	0.818	1	0.818	0.818	3
0.534	0.621	0.845	0.67	0.544	3
0.556	0.778	1	0.833	0.667	3
0.571	0.741	0.902	0.705	0.634	3
0.574	0.745	0.894	0.83	0.66	3
0.571	0.571	0.929	0.786	0.643	3
0.473	0.582	0.782	0.673	0.6	3
0.8	0.733	1	0.8	0.8	3
0.667	0.889	0.944	0.889	0.667	3
0.5	0.833	1	0.833	0.722	3
0.59	0.692	0.897	0.726	0.658	3
0.857	0.857	1	1	1	3
0.429	0.571	0.893	0.643	0.357	3
0.308	0.615	1	0.692	0.615	3
0.649	0.838	0.946	0.865	0.757	3
0.833	0.833	1	1	0.917	3
0.682	0.591	0.955	0.682	0.5	3
0.644	0.695	0.898	0.712	0.593	3
0.628	0.581	0.884	0.605	0.581	3
0.421	0.618	0.855	0.632	0.553	3
0.638	0.672	0.862	0.69	0.569	3
0.38	0.423	0.915	0.592	0.408	3
0.5	0.682	0.932	0.636	0.568	3
0.606	0.577	0.958	0.62	0.521	3
0.479	0.583	0.938	0.646	0.604	3
0.519	0.608	0.848	0.633	0.532	3
0.389	0.5	0.833	0.611	0.278	3
0.687	0.716	0.925	0.776	0.597	3
0.657	0.706	0.863	0.725	0.637	3
0.63	0.704	0.889	0.722	0.63	3
0.667	0.778	1	0.778	0.333	3
0.673	0.816	0.959	0.837	0.714	3
0.333	0.667	1	0.667	0.667	3
0.385	0.487	0.949	0.667	0.538	3
0.818	1	1	1	0.909	3
0.625	0.563	0.813	0.75	0.625	3
0.451	0.549	0.854	0.573	0.524	3
0.486	0.571	0.886	0.629	0.514	3
0.619	0.643	0.952	0.69	0.571	3
0.446	0.492	0.79	0.508	0.451	3
0.5	0.591	0.955	0.727	0.591	3
0.524	0.595	0.81	0.667	0.524	3
0.714	0.857	1	0.857	0.714	3
0.521	0.616	0.904	0.658	0.589	3
0.436	0.527	0.909	0.6	0.527	3
0.586	0.69	0.862	0.672	0.603	3
0.538	0.615	0.885	0.654	0.538	3
0.6	0.667	0.967	0.7	0.733	3
0.583	0.583	1	0.667	0.417	3
0.455	0.618	0.909	0.673	0.509	3
0.553	0.702	0.957	0.723	0.66	3
0.483	0.534	0.914	0.638	0.448	3
0.667	0.556	0.944	0.722	0.556	3
0.538	0.615	1	0.615	0.615	3
0.571	0.714	0.886	0.743	0.686	3
0.64	0.84	0.96	0.92	0.8	3
0.491	0.684	0.912	0.702	0.649	3
0.632	0.684	0.947	0.632	0.684	3
0.569	0.647	0.902	0.706	0.569	3
0.574	0.593	0.889	0.741	0.574	3
0.364	0.727	1	0.909	0.636	3
0.625	0.625	1	0.625	0.5	3
0.652	0.761	0.957	0.804	0.717	3
0.75	0.813	0.938	0.875	0.813	3
0.588	0.647	0.912	0.676	0.676	3
0.411	0.489	0.878	0.511	0.5	3
0.462	0.503	0.793	0.593	0.545	3
